0	50.8	2157.4125
0	101.6	2198.6875
0	152.4	2233.6125
0	203.2	2262.1875
0	254	2279.65
0	304.8	2287.5875
0	355.6	2287.5875
0	406.4	2274.8875
0	457.2	2247.9
0	508	2192.3375
0	558.8	2005.0125
0	566.7375	1828.8
14.2875	558.8	1828.8
50.8	522.2875	1828.8
60.325	508	1828.8
82.55	457.2	1828.8
93.6625	406.4	1828.8
98.425	355.6	1828.8
98.425	304.8	1828.8
95.25	254	1828.8
0	573.0875	1524
44.45	558.8	1524
50.8	555.625	1524
101.6	527.05	1524
123.825	508	1524
152.4	461.9625	1524
153.9875	457.2	1524
168.275	406.4	1524
173.0375	355.6	1524
173.0375	304.8	1524
0	577.85	1219.2
50.8	568.325	1219.2
92.075	558.8	1219.2
101.6	555.625	1219.2
152.4	536.575	1219.2
193.675	508	1219.2
203.2	498.475	1219.2
228.6	457.2	1219.2
242.8875	406.4	1219.2
247.65	355.6	1219.2
247.65	304.8	1219.2
0	579.4375	914.4
50.8	574.675	914.4
101.6	566.7375	914.4
149.225	558.8	914.4
152.4	558.8	914.4
203.2	541.3375	914.4
254	512.7625	914.4
260.35	508	914.4
296.8625	457.2	914.4
304.8	436.5625	914.4
311.15	406.4	914.4
314.325	355.6	914.4
314.325	304.8	914.4
0	581.025	609.6
50.8	577.85	609.6
101.6	573.0875	609.6
152.4	566.7375	609.6
201.6125	558.8	609.6
203.2	558.8	609.6
254	542.925	609.6
304.8	515.9375	609.6
314.325	508	609.6
350.8375	457.2	609.6
355.6	444.5	609.6
365.125	406.4	609.6
368.3	355.6	609.6
368.3	304.8	609.6
0	584.2	304.8
50.8	579.4375	304.8
101.6	576.2625	304.8
152.4	571.5	304.8
203.2	565.15	304.8
239.7125	558.8	304.8
254	554.0375	304.8
304.8	536.575	304.8
349.25	508	304.8
355.6	501.65	304.8
385.7625	457.2	304.8
401.6375	406.4	304.8
406.4	355.6	304.8
406.4	320.675	304.8
406.4	304.8	304.8
0	584.2	0
50.8	581.025	0
101.6	577.85	0
152.4	574.675	0
203.2	568.325	0
254	558.8	0
254	558.8	0
304.8	542.925	0
355.6	514.35	0
361.95	508	0
400.05	457.2	0
406.4	442.9125	0
415.925	406.4	0
420.6875	355.6	0
419.1	304.8	0
